ZIP Code,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Fire - Incurred Losses,Non-CAT Cov A Fire - Number of Claims,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Fire - Incurred Losses,CAT Cov A Fire - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,CAT Cov C Fire - Incurred Losses,CAT Cov C Fire - Number of Claims,CAT Cov C Smoke - Incurred Losses,CAT Cov C Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
92591,524662.38,332042.51,0.55,2337,1741,270,47,3,5234068,4397,280334,2,0,0,156109,1,0,0,0,0,0,0,0,0,0,0,5752544,4449
92592,581388.96,356560.37,0.68,4704,3628,870,304,58,13540162,9566,407300,3,2169,1,219157,2,0,0,15000,1,0,0,4000,1,0,0,14845040,9492
92593,261000.0,130500.0,2.0,0,0,1,0,0,1081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92595,463140.7,295207.64,0.93,1216,1591,532,154,38,4576031,3531,154341,2,0,0,72095,2,0,0,0,0,0,0,0,0,0,0,5156103,3569
92596,569155.33,324003.53,0.61,2347,1216,172,21,203,4588391,3959,228300,2,0,0,157546,2,0,0,0,0,0,0,0,0,0,0,5373796,4421
92602,746553.02,489331.55,0.5,1521,1060,91,19,13,3345254,2704,264912,14,536792,24,25758,5,121708,11,92355,4,151209,7,2468,3,65020,3,3874437,2866
92603,995103.85,654176.66,0.65,1010,962,160,47,1,4871795,2180,37233,3,340,1,1179,1,276,1,0,0,0,0,0,0,0,0,5737656,2219
92604,452383.83,312204.66,0.35,1393,732,7,0,0,2167197,2131,34609,4,47939,3,2250,2,719,2,0,0,8521,1,0,0,2145,1,2334104,2079
92606,483763.7,330197.95,0.37,866,510,3,0,0,1509253,1379,51047,1,38913,3,6659,1,8096,2,0,0,0,0,0,0,0,0,1647062,1369
92607,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92610,531750.43,342316.52,0.78,830,483,296,58,18,2467807,1684,53740,8,69198,11,0,0,6516,3,0,0,7955,1,0,0,1787,1,2783065,1677
92612,509612.3,348101.61,0.44,327,212,13,2,0,727907,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794608,565
92614,471022.42,328120.59,0.4,734,476,5,0,0,1341172,1216,0,0,8626,1,0,0,4018,1,0,0,0,0,0,0,0,0,1454564,1199
92615,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92616,1123400.0,845050.0,1.0,0,1,0,0,0,2370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92617,514929.82,348230.42,0.51,333,252,30,1,0,734261,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842547,628
92618,686294.81,437560.67,0.51,2483,1565,185,19,55,4746148,4308,519517,37,374623,37,217479,14,103747,15,113277,5,113294,5,23682,5,27827,4,5717491,4559
92619,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92620,571181.46,384019.1,0.38,3496,2024,37,0,0,6047043,5557,257762,15,373614,25,52682,9,31551,6,4644,1,69403,4,8505,1,5142,2,6588677,5468
92621,388500.0,291375.0,1.5,1,0,0,1,0,2070,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1
92623,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92624,665159.91,426580.16,0.43,510,349,13,0,0,1398171,871,21329,1,0,0,347,1,0,0,0,0,0,0,0,0,0,0,1549879,880
92625,1275678.0,785510.19,0.72,831,975,153,48,5,4952187,2011,448803,3,0,0,213511,4,0,0,2554,1,0,0,2033,1,0,0,5675293,2059
92626,450770.65,318478.63,0.36,2640,1505,4,0,0,4536227,4148,463514,4,15303,2,250979,3,0,0,0,0,0,0,0,0,0,0,4967482,4115
92627,438729.82,307335.33,0.4,2103,1355,16,6,0,3565758,3481,169271,3,0,0,81140,2,0,0,0,0,0,0,0,0,0,0,3994378,3509
92628,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92629,810597.1,503173.72,0.55,1602,1309,135,40,1,5874525,3087,60747,1,0,0,255338,2,0,0,0,0,0,0,0,0,0,0,6678635,3150
92630,493629.13,334240.58,0.44,4205,2202,189,120,1,8470212,6717,724508,14,114298,11,477857,4,31375,6,87920,2,2748,1,46738,1,0,0,9301276,6675
92631,351000.0,263250.0,0.0,2,0,0,0,0,1260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,2
92633,390000.0,292500.0,0.0,2,0,0,0,0,1509,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,2
92635,489000.0,366750.0,0.0,1,0,0,0,0,977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,1
92637,253285.14,166767.89,0.38,20,7,1,1,0,20986,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24496,29
92640,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1
92645,357000.0,267750.0,0.0,1,0,0,0,0,540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1
